State,District,ULB Name,No. Of Applications Received,No. Of Applications not Verified,No. Of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo,No. of Commenced Toilet Photo,No. of Constructed Toilet Photo through Swachhalaya
Punjab,S.A.S. Nagar (Mohali),S.A.S. Nagar (Mohali) (M Cl),142,1,68,68,66,72,0,1,68,0,1
Punjab,S.A.S. Nagar (Mohali),Zirakpur (M Cl),97,1,95,95,90,1,0,0,95,0,0
Telangana,Warangal,Parkala(NP),1025,677,348,348,343,0,0,0,348,0,0
Telangana,Warangal,Warangal (M.Corp.),45998,30340,15655,15655,15215,0,3,0,15663,5,3
Punjab,Patiala,Bhadson (NP),153,0,150,150,140,3,0,0,150,0,0
Punjab,Patiala,Ghagga (NP),265,8,253,253,249,1,0,3,252,0,0
Punjab,Patiala,Ghanaur (NP),282,2,70,70,69,209,0,1,70,0,0
Punjab,Patiala,Nabha (M Cl),160,0,153,153,82,7,0,0,147,0,0
Punjab,Patiala,Patiala (M Corp.),796,3,729,719,659,63,0,1,433,238,0
Punjab,Patiala,Patran (M Cl),1326,1,409,409,386,915,0,1,409,0,0
Punjab,Patiala,Rajpura (M Cl),1041,115,279,277,120,606,1,40,92,11,0
Punjab,Patiala,Samana (M Cl),297,3,175,175,0,119,0,0,144,0,0
Punjab,Patiala,Sanaur (M Cl),124,1,123,123,2,0,0,0,104,3,0
Punjab,Mansa,Bareta (M Cl),707,1,701,701,189,3,1,1,703,0,0
Punjab,Mansa,Bhikhi (NP),315,3,300,285,247,11,0,1,283,6,0
Punjab,Mansa,Boha,975,54,872,872,241,47,1,1,783,94,0
Punjab,Mansa,Budhlada (M Cl),1573,3,1560,1061,1043,10,0,0,1354,0,0
Punjab,Mansa,Joga,978,44,927,462,370,6,0,1,944,18,0
Punjab,Mansa,Mansa (M Cl),694,64,618,594,197,9,0,3,607,0,0
Punjab,Mansa,Sardulgarh (NP),1075,0,985,983,969,82,0,8,688,89,1
Punjab,Pathankot,Narot Jamal Singh,66,66,0,0,0,0,0,0,0,0,0
Punjab,Moga,Badhni Kalan (NP),585,2,583,583,583,0,0,0,259,0,514
Punjab,Moga,Bagha Purana (M Cl),558,246,278,230,230,34,0,0,104,0,101
Punjab,Moga,Dharamkot (M Cl),129,0,124,124,110,5,0,0,117,3,180
Punjab,Moga,Fatehgarh Panjtoor,131,0,131,81,81,0,0,0,0,0,0
Punjab,Moga,Kot Ise Khan,488,0,486,486,477,1,1,0,381,87,0
Punjab,Moga,Moga (M Cl),3315,187,3015,2971,2580,107,5,1,2863,0,30
Punjab,Moga,Nihal Singh Wala,372,93,248,248,245,31,0,0,233,0,293
Telangana,Yadadri,Bhongir (M),1223,342,881,881,879,0,0,0,881,0,1
Telangana,Siddipet,Gajwel(NP),1646,375,1271,1271,1251,0,0,0,1272,0,0
Telangana,Siddipet,Husnabad(NP),1183,378,805,805,721,0,0,0,805,0,0
Telangana,Siddipet,Siddipet (M),3446,520,2925,2925,2822,0,1,0,2926,0,4
Telangana,Rangareddy,Jallpally,0,0,0,0,0,0,0,0,0,0,0
Telangana,Rangareddy,Badangpet(NP),650,287,363,363,143,0,0,0,363,0,0
Telangana,Rangareddy,Ibrahimpatnam(NP),629,281,346,346,345,0,1,1,347,1,2
Telangana,Rangareddy,Jillelagida,0,0,0,0,0,0,0,0,0,0,0
Telangana,Rangareddy,Meerpet,0,0,0,0,0,0,0,0,0,0,0
Telangana,Rangareddy,Pedda-Amberpet(NP),2055,534,1521,1521,1508,0,0,0,1521,0,0
Telangana,Rangareddy,Tandur (M),2191,623,1568,1568,1555,0,0,0,1574,0,0
Punjab,Kapurthala,Begowal (NP),55,0,55,55,55,0,0,0,54,0,0
Telangana,Rangareddy,Vicarabad (M),3449,2808,641,641,635,0,0,0,642,1,0
Punjab,Kapurthala,Bhulath (NP),67,0,55,55,55,12,0,0,53,0,0
Punjab,Kapurthala,Dhilwan (NP),257,0,200,200,198,2,0,55,197,0,0
Punjab,Kapurthala,Kapurthala (M Cl),654,1,653,653,645,0,0,0,130,126,0
Punjab,Kapurthala,Nadala,1,0,0,0,0,0,0,1,0,0,0
Punjab,Jalandhar,Adampur (M Cl),223,0,182,182,179,41,0,0,144,0,0
Punjab,Kapurthala,Phagwara (M Cl),706,3,686,662,638,14,0,3,279,367,3
Punjab,Jalandhar,Alawalpur (M Cl),248,0,159,159,159,89,0,0,106,8,0
Punjab,Jalandhar,Bhogpur (NP),75,0,55,55,55,20,0,0,51,2,0
Punjab,Kapurthala,Sultanpur (M Cl),41,1,37,37,35,3,0,0,37,0,0
Punjab,Jalandhar,Bilga,240,0,228,0,0,12,0,0,0,0,0
Punjab,Jalandhar,Goraya (NP),245,0,245,245,244,0,0,0,243,0,0
Telangana,Suryapet,Huzurnagar(NP),2398,322,2076,2076,1999,0,0,0,2076,0,1
Punjab,Jalandhar,Jalandhar (M Corp.),920,3,912,912,525,4,0,1,849,10,0
Punjab,Jalandhar,Jalandhar Cantt. (CB),0,0,0,0,0,0,0,0,0,0,0
Punjab,Jalandhar,Kartarpur (M Cl),27,1,24,24,24,0,0,2,18,3,0
Telangana,Suryapet,Kodad,2582,487,2095,2095,1996,0,0,0,2096,0,0
Telangana,Suryapet,Suryapet (M),2172,597,1575,1575,1573,0,0,0,1575,0,1
Punjab,Jalandhar,Lohian Khass (NP),182,0,182,182,182,0,0,0,85,17,0
Punjab,Jalandhar,Mehatpur,181,0,168,168,27,13,0,0,166,0,0
Punjab,Jalandhar,Nakodar (M Cl),209,0,209,209,195,0,0,0,208,0,0
Punjab,Jalandhar,Nurmahal (M Cl),284,0,284,278,278,0,0,0,277,0,0
Punjab,Jalandhar,Phillaur (M Cl),267,3,262,262,261,2,0,0,105,0,0
Punjab,Jalandhar,Shahkot (NP),175,20,155,0,0,0,0,0,147,0,0
Punjab,Hoshiarpur,Dasua (M Cl),127,1,106,84,83,20,0,0,84,0,0
Punjab,Hoshiarpur,Gardhiwala (M Cl),113,0,97,97,96,16,0,0,76,10,1
Punjab,Hoshiarpur,Garhshankar (M Cl),131,34,89,88,85,8,0,0,81,0,0
Punjab,Hoshiarpur,Hariana (M Cl),209,0,174,174,174,35,0,0,158,0,0
Punjab,Hoshiarpur,Hoshiarpur (M Cl),2095,0,1614,1614,1609,476,4,1,811,42,21
Telangana,Nirmal,Bhainsa (M),3399,1006,2392,2392,2382,0,1,0,2393,1,0
Punjab,Hoshiarpur,Mahilpur (NP),115,2,111,111,110,2,0,0,82,0,0
Punjab,Hoshiarpur,Mukerian (M Cl),356,29,322,322,321,3,0,2,283,23,0
Telangana,Nirmal,Nirmal (M),3675,2865,810,810,802,0,0,0,813,0,0
Punjab,Hoshiarpur,Sham Chaurasi (M Cl),99,1,96,96,93,0,0,2,96,0,0
Punjab,Hoshiarpur,Talwara,186,3,183,181,163,0,0,0,86,16,0
Punjab,Firozpur,Arniwala Sheikh Subhan,626,3,618,617,617,5,0,0,517,21,1
Punjab,Hoshiarpur,Urmar Tanda (M Cl),58,2,56,56,56,0,0,0,50,0,0
Punjab,Firozpur,Firozpur (M Cl),1435,56,1374,1270,246,3,0,2,1270,0,0
Telangana,Nizamabad,Armur (M),2277,902,1375,1375,1307,0,0,0,1375,0,0
Punjab,Firozpur,Firozpur Cantt (CB),12,12,0,0,0,0,0,0,0,0,0
Punjab,Firozpur,Guru Har Sahai (M Cl),726,171,542,522,518,0,1,12,422,0,4
Punjab,Firozpur,Makhu (NP),370,0,352,352,350,12,0,6,290,0,0
Telangana,Nizamabad,Bodhan (M),4431,1097,3334,3334,3199,0,0,0,3334,0,1
Telangana,Nizamabad,Kamareddy (M),3816,1198,2618,2618,2568,0,0,0,2618,0,0
Telangana,Nizamabad,Nizamabad (M Corp.),2927,1216,1711,1711,1703,0,0,0,1712,0,1
Punjab,Firozpur,Mallanwala Khass (NP),1074,0,1060,1060,533,12,0,2,1060,0,0
Punjab,Firozpur,Mamdot,207,2,204,126,125,1,0,0,127,0,0
Punjab,Firozpur,Mudki (NP),421,45,375,372,366,1,0,0,372,0,0
Punjab,Fazilka,Abohar (M Cl),2630,255,2356,78,78,18,1,0,596,9,4
Telangana,Sircilla,Sircilla (M),7362,2628,4734,4734,4670,0,0,0,4734,0,0
Punjab,Firozpur,Talwandi Bhai (M Cl),296,14,280,280,252,2,0,0,236,0,0
Punjab,Firozpur,Zira (M Cl),953,205,740,739,656,8,0,0,729,0,0
Punjab,Fazilka,Fazilka (M Cl),1052,1,93,93,89,623,3,332,93,167,105
Punjab,Fazilka,Jalalabad (M Cl),321,0,248,248,244,70,2,1,251,0,2
Telangana,Nalgonda,Devarakonda(NP),1359,546,813,813,355,0,0,0,813,0,1
Telangana,Nalgonda,Miryalaguda (M),3385,1495,1890,1890,1845,0,0,0,1890,0,0
Telangana,Nalgonda,Nalgonda (M),6667,3694,2969,2969,2910,0,4,0,2972,1,0
Telangana,Nagarkurnool,Atchampet(NP),609,37,572,572,553,0,0,0,572,0,0
Telangana,Nagarkurnool,Kalwakurthy(NP),1011,347,663,663,660,0,1,0,664,1,1
